id,source,text,image_path,clean_text
e107537d,Twitter,"ImNews: South Sudan's humanitarian crisis escalates, aid groups warn of war crimes & mass violations. #SouthSudan #Breaking #WorldNews  https:// impulsradioafrica.online/south-sudan-cr isis-aid-organizations-warn-of-war-crimes-risk-aid-organizations/ …",dataset/twitter_images/e107537d.jpg,"ImNews: South Sudan's humanitarian crisis escalates, aid groups warn of war crimes & mass violations. #SouthSudan #Breaking #WorldNews impulsradioafrica.online/south-sudan-cr isis-aid-organizations-warn-of-war-crimes-risk-aid-organizations/ …"
6c130498,Twitter,Humanitarian crisis for children deepens after one month of war in the #MiddleEast.  “Urgent action is needed by all parties to conflict to protect the lives of civilians and uphold the rights of children.” -  @unicefchief     https:// buff.ly/kCfQuro,dataset/twitter_images/6c130498.jpg,Humanitarian crisis for children deepens after one month of war in the #MiddleEast. “Urgent action is needed by all parties to conflict to protect the lives of civilians and uphold the rights of children.” - buff.ly/kCfQuro
fee70815,Twitter,"If this continues, it won’t just be a war anymore — it’ll turn into a full-scale humanitarian crisis.",dataset/twitter_images/fee70815.jpg,"If this continues, it won’t just be a war anymore — it’ll turn into a full-scale humanitarian crisis."
f0f8271e,Twitter," Read Trump's latest insane post. The Trump Regime is waging war on the 70 million civilians of Iran that he wanted to ""free"".   Imagine if all of the electric plants and major bridges in America were destroyed.  That would cause a massive humanitarian crisis that would,",dataset/twitter_images/f0f8271e.jpg,"Read Trump's latest insane post. The Trump Regime is waging war on the 70 million civilians of Iran that he wanted to ""free"". Imagine if all of the electric plants and major bridges in America were destroyed. That would cause a massive humanitarian crisis that would,"
2eb5e0a0,Twitter,"Lebanon Death Toll Rises to 1,345 as Humanitarian Crisis Deepens   Since the war began on March 2, Lebanon’s reported toll has reached 1,345 dead and 4,040 wounded, including 125 children, 91 women, and 53 health workers, while more than 1 million people have been displaced. In",dataset/twitter_images/2eb5e0a0.jpg,"Lebanon Death Toll Rises to 1,345 as Humanitarian Crisis Deepens Since the war began on March 2, Lebanon’s reported toll has reached 1,345 dead and 4,040 wounded, including 125 children, 91 women, and 53 health workers, while more than 1 million people have been displaced. In"
da4bd59c,Twitter,"MORE: Russian mismanagement has created a critical food, water, and resource shortage that is driving a dire humanitarian crisis in occupied Oleshky, Kherson Oblast.  An evacuation volunteer told MIHR on March 24 that residents have resorted to hunting for food, and there have",dataset/twitter_images/da4bd59c.jpg,"MORE: Russian mismanagement has created a critical food, water, and resource shortage that is driving a dire humanitarian crisis in occupied Oleshky, Kherson Oblast. An evacuation volunteer told MIHR on March 24 that residents have resorted to hunting for food, and there have"
273a0d6b,Twitter,"As the #Iran war reshapes regional priorities, #Gaza’s crisis deepens: humanitarian conditions worsen, aid is disrupted, and prospects for reconstruction fade.  #MEDThisWeek →  https:// ispionline.it/en/publication /regional-war-forgotten-crisis-gaza-spirals-deeper-234360 …",dataset/twitter_images/273a0d6b.jpg,"As the #Iran war reshapes regional priorities, #Gaza’s crisis deepens: humanitarian conditions worsen, aid is disrupted, and prospects for reconstruction fade. #MEDThisWeek → ispionline.it/en/publication /regional-war-forgotten-crisis-gaza-spirals-deeper-234360 …"
198e64f4,Twitter," NAVIGATING UNCERTAIN TIMES   By Darul Ihsan Centre   Lets Reflect  The Ummah is in crisis. Amidst war and tragedy,  global uncertainty, humanitarian crisis, rising fuel costs, and the weight of what is to come. Let us not lose sight of the bigger picture.",dataset/twitter_images/198e64f4.jpg,"NAVIGATING UNCERTAIN TIMES By Darul Ihsan Centre Lets Reflect The Ummah is in crisis. Amidst war and tragedy, global uncertainty, humanitarian crisis, rising fuel costs, and the weight of what is to come. Let us not lose sight of the bigger picture."
d52d0f3c,Twitter,Palestinians line up in long queues for hours to get bread amid the ongoing humanitarian crisis caused by the Israeli war.,dataset/twitter_images/d52d0f3c.jpg,Palestinians line up in long queues for hours to get bread amid the ongoing humanitarian crisis caused by the Israeli war.
71bb6f03,Twitter,"The upcoming April 15, 2026, international conference in Berlin has deeply divided Sudanese political factions as it aims to address Sudan's escalating humanitarian crisis and create a political pathway to end the ongoing war.   While the “Somoud” Democratic Forces Alliance is",dataset/twitter_images/71bb6f03.jpg,"The upcoming April 15, 2026, international conference in Berlin has deeply divided Sudanese political factions as it aims to address Sudan's escalating humanitarian crisis and create a political pathway to end the ongoing war. While the “Somoud” Democratic Forces Alliance is"
9608213e,Twitter,". @KhalilEJahshan  argues that the war with #Iran has diverted attention away from #Gaza, enabling #Israel to intensify the humanitarian crisis and obstruct reconstruction, despite the commitments made and the billions raised under Trump’s plan and the so‑called “Board of Peace.”",dataset/twitter_images/9608213e.jpg,". argues that the war with #Iran has diverted attention away from #Gaza, enabling #Israel to intensify the humanitarian crisis and obstruct reconstruction, despite the commitments made and the billions raised under Trump’s plan and the so‑called “Board of Peace.”"
e17f11bf,Twitter,"Crowds across northern Syria marched Tuesday condemning Israeli Knesset law passed Monday, demanding protection of Palestinian rights and an end to war in Gaza as global concern over humanitarian crisis grows today around the world.  #Syria #Palestine",dataset/twitter_images/e17f11bf.jpg,"Crowds across northern Syria marched Tuesday condemning Israeli Knesset law passed Monday, demanding protection of Palestinian rights and an end to war in Gaza as global concern over humanitarian crisis grows today around the world. #Syria #Palestine"
30d157ab,Twitter,"Longer War Greater Hunger Analyses indicate that prolonged conflicts do not remain confined to battlefields,but extend to undermine global food security,with rising prices of essential goods,disrupted supply chains,and expanding hunger,signaling a cross-border humanitarian crisis",dataset/twitter_images/30d157ab.jpg,"Longer War Greater Hunger Analyses indicate that prolonged conflicts do not remain confined to battlefields,but extend to undermine global food security,with rising prices of essential goods,disrupted supply chains,and expanding hunger,signaling a cross-border humanitarian crisis"
cb6fc0a1,Twitter,"[IN CASE YOU MISSED IT]  Join Moulana Sulaimaan Ravat on Debunked as he discusses the ongoing crisis in Sudan with Khalid Dahab, President of the Sudanese Community in Gauteng. They delve into the current situation, including the civil war, humanitarian challenges, and the impact",dataset/twitter_images/cb6fc0a1.jpg,"[IN CASE YOU MISSED IT] Join Moulana Sulaimaan Ravat on Debunked as he discusses the ongoing crisis in Sudan with Khalid Dahab, President of the Sudanese Community in Gauteng. They delve into the current situation, including the civil war, humanitarian challenges, and the impact"
45a8063a,Twitter, Gulf countries rely heavily on desalinated water to survive.    Iran has already struck some of these plants — experts are calling it a potential war crime.    Could this regional conflict turn into a full humanitarian crisis?   ---   دول الخليج تعتمد بشكل أساسي على المياه,dataset/twitter_images/45a8063a.jpg,Gulf countries rely heavily on desalinated water to survive. Iran has already struck some of these plants — experts are calling it a potential war crime. Could this regional conflict turn into a full humanitarian crisis? --- دول الخليج تعتمد بشكل أساسي على المياه
aff475b5,Twitter," Gulf countries survive on desalinated water, and Iran has already hit some plants. Experts call it a potential war crime.  This regional war could turn into a full-blown humanitarian crisis.",dataset/twitter_images/aff475b5.jpg,"Gulf countries survive on desalinated water, and Iran has already hit some plants. Experts call it a potential war crime. This regional war could turn into a full-blown humanitarian crisis."
4bc37a4b,Twitter,"How might the crisis in the Middle East shape humanitarian needs worldwide?  This excellent analysis by  @ACAPSproject  helps you understand the scale of the ripple effects from the war, dividing the impacts into four themes: energy and water security the economy, shipping",dataset/twitter_images/4bc37a4b.jpg,"How might the crisis in the Middle East shape humanitarian needs worldwide? This excellent analysis by helps you understand the scale of the ripple effects from the war, dividing the impacts into four themes: energy and water security the economy, shipping"
62c33cf5,Twitter,Profiting off a humanitarian crisis?! ffs  Canadian oil producers are set to profit about 90 BILLION dollars off the US & Israel’s war on Iran.  Bottom line: let’s not confuse what’s good for oil companies with what’s good for regular people.,dataset/twitter_images/62c33cf5.jpg,Profiting off a humanitarian crisis?! ffs Canadian oil producers are set to profit about 90 BILLION dollars off the US & Israel’s war on Iran. Bottom line: let’s not confuse what’s good for oil companies with what’s good for regular people.
05868c33,Twitter,The humanitarian crisis for children is deepening after one month of war in the Middle East.  “Urgent action is needed by all parties to conflict to protect the lives of civilians and uphold the rights of children.” -  @unicefchief   Details on UNICEF’s response:,dataset/twitter_images/05868c33.jpg,The humanitarian crisis for children is deepening after one month of war in the Middle East. “Urgent action is needed by all parties to conflict to protect the lives of civilians and uphold the rights of children.” - Details on UNICEF’s response:
11ea2a6d,Twitter,#BREAKING: CHINA & PAKISTAN PROPOSE 5-POINT PLAN ON GULF CRISIS  1. Immediate ceasefire and humanitarian access to all war-affected areas.  2. Launch peace talks as soon as possible; safeguard sovereignty of Iran and Gulf states; “with all parties committing to peaceful,dataset/twitter_images/11ea2a6d.jpg,#BREAKING: CHINA & PAKISTAN PROPOSE 5-POINT PLAN ON GULF CRISIS 1. Immediate ceasefire and humanitarian access to all war-affected areas. 2. Launch peace talks as soon as possible; safeguard sovereignty of Iran and Gulf states; “with all parties committing to peaceful
c5518a62,Twitter,BREAKING: CHINA & PAKISTAN PROPOSE 5-POINT PLAN ON GULF CRISIS  1. Immediate ceasefire and humanitarian access to all war-affected areas.  2. Launch peace talks as soon as possible; safeguard sovereignty of Iran and Gulf states; “with all parties committing to peaceful resolution,dataset/twitter_images/c5518a62.jpg,BREAKING: CHINA & PAKISTAN PROPOSE 5-POINT PLAN ON GULF CRISIS 1. Immediate ceasefire and humanitarian access to all war-affected areas. 2. Launch peace talks as soon as possible; safeguard sovereignty of Iran and Gulf states; “with all parties committing to peaceful resolution
aa0d3158,Twitter,"Sudan has essentially become an Islamic state in military uniform.  This war, waged by Islamists, has created what the UN calls the “worst humanitarian crisis globally.” Roughly 400,000 people have been killed, and millions have been displaced.  For years, the Sudanese people",dataset/twitter_images/aa0d3158.jpg,"Sudan has essentially become an Islamic state in military uniform. This war, waged by Islamists, has created what the UN calls the “worst humanitarian crisis globally.” Roughly 400,000 people have been killed, and millions have been displaced. For years, the Sudanese people"
1bb4c459,Twitter,"Sudan on the Brink: 34M Need Aid, 29M Facing Hunger  As Sudan’s war nears its third year, the humanitarian crisis is spiraling.  According to Concern Worldwide, 34 million people (72% of the population) need humanitarian assistance — including 29 million facing acute food",dataset/twitter_images/1bb4c459.jpg,"Sudan on the Brink: 34M Need Aid, 29M Facing Hunger As Sudan’s war nears its third year, the humanitarian crisis is spiraling. According to Concern Worldwide, 34 million people (72% of the population) need humanitarian assistance — including 29 million facing acute food"
e9aff86c,Twitter,"Longer wars lead to greater hunger; during war, food prices rise, supply chains are disrupted, and production declines. The spread of hunger is a sign of a cross-border humanitarian crisis.   #IranWar‌ #iran #ایران",dataset/twitter_images/e9aff86c.jpg,"Longer wars lead to greater hunger; during war, food prices rise, supply chains are disrupted, and production declines. The spread of hunger is a sign of a cross-border humanitarian crisis. #IranWar‌ #iran #ایران"
efa61947,Twitter,"If Trump strikes Iran oil, electrical or water distillation facilities this will become a humanitarian crisis for the innocent people in Iran. Also this would be considered a war crime. When will Republicans stand up for humanity and tell this dictator enough is enough!",dataset/twitter_images/efa61947.jpg,"If Trump strikes Iran oil, electrical or water distillation facilities this will become a humanitarian crisis for the innocent people in Iran. Also this would be considered a war crime. When will Republicans stand up for humanity and tell this dictator enough is enough!"
909c3355,Twitter,This is the POTUS openly threatening a war crime and ready to create a humanitarian crisis for 90+ million people in Iran. How many Christians would be happy to watch people starve and suffer this Easter weekend?  #maga #trump #peacemaker,dataset/twitter_images/909c3355.jpg,This is the POTUS openly threatening a war crime and ready to create a humanitarian crisis for 90+ million people in Iran. How many Christians would be happy to watch people starve and suffer this Easter weekend? #maga #trump #peacemaker
2c022fdf,Twitter,"Trump is openly threatening war crimes in Iran, he is happy to plunge 90+ million people into a humanitarian crisis if he doesn't get his way. This is the hate that MAGA brings, this is what Andy Barr supports.",dataset/twitter_images/2c022fdf.jpg,"Trump is openly threatening war crimes in Iran, he is happy to plunge 90+ million people into a humanitarian crisis if he doesn't get his way. This is the hate that MAGA brings, this is what Andy Barr supports."
e8a7451a,Twitter,"Meanwhile the pedo u protect is prepping the country for 1-2yrs of war-- a war he's already bored with so he now wants to 'take' Cuba, while leaving Venezuela in a massive humanitarian crisis. He's insane as are the power hungry lap dogs who protect him.",dataset/twitter_images/e8a7451a.jpg,"Meanwhile the pedo u protect is prepping the country for 1-2yrs of war-- a war he's already bored with so he now wants to 'take' Cuba, while leaving Venezuela in a massive humanitarian crisis. He's insane as are the power hungry lap dogs who protect him."
efe7fc2a,Twitter," CHS Data Snapshot | Humanitarian Crisis Update – US-Israel War on Iran  The snapshot shows a rapidly worsening humanitarian emergency, with thousands killed and injured, millions displaced across #Iran and #Lebanon, and critical infrastructure and aid systems under severe",dataset/twitter_images/efe7fc2a.jpg,"CHS Data Snapshot | Humanitarian Crisis Update – US-Israel War on Iran The snapshot shows a rapidly worsening humanitarian emergency, with thousands killed and injured, millions displaced across #Iran and #Lebanon, and critical infrastructure and aid systems under severe"
45da3d8f,Twitter,"War isn’t breaking news when it’s your home.    Iranian civilians in the Iran war face survival, fear, and a deep humanitarian crisis in the Middle East conflict.   See the human cost—repost if this matters. #Iran #MiddleEast #HumanitarianCrisis",dataset/twitter_images/45da3d8f.jpg,"War isn’t breaking news when it’s your home. Iranian civilians in the Iran war face survival, fear, and a deep humanitarian crisis in the Middle East conflict. See the human cost—repost if this matters. #Iran #MiddleEast #HumanitarianCrisis"
ecfa386f,Twitter,"The targeting of the Doha West complex in Kuwait underscores the extreme vulnerability of Gulf ""cogeneration"" plants. With 40% of the country's water supply at stake, this strike shifts the regional conflict toward a potential humanitarian crisis.",dataset/twitter_images/ecfa386f.jpg,"The targeting of the Doha West complex in Kuwait underscores the extreme vulnerability of Gulf ""cogeneration"" plants. With 40% of the country's water supply at stake, this strike shifts the regional conflict toward a potential humanitarian crisis."
2da6fb95,Twitter,"[  Sudan ]  The quiet war between the Sudanese Armed Forces and the Rapid Support Forces continues into 2026, driving a massive humanitarian crisis.   An estimated 33.7 million people (about two-thirds of the population) need humanitarian aid, and over 20 million require",dataset/twitter_images/2da6fb95.jpg,"[ Sudan ] The quiet war between the Sudanese Armed Forces and the Rapid Support Forces continues into 2026, driving a massive humanitarian crisis. An estimated 33.7 million people (about two-thirds of the population) need humanitarian aid, and over 20 million require"
214b64a5,Twitter,"The ""war on infrastructure"" hits a new low as U.S.-Israeli strikes target a major water source in Western Iran.  Millions face a brewing humanitarian crisis as clean water becomes a weapon of war.",dataset/twitter_images/214b64a5.jpg,"The ""war on infrastructure"" hits a new low as U.S.-Israeli strikes target a major water source in Western Iran. Millions face a brewing humanitarian crisis as clean water becomes a weapon of war."
266fc791,Twitter,"I'm on field trip in the regions of  talking to people on the ground after the harshest winter &amp; humanitarian crisis in 4 yrs of full-scale Russia's war & 12 yrs since the ongoing occupation of Crimea and my home Donbas, Luhansk city. My solidarity message to British people ",dataset/twitter_images/266fc791.jpg,"I'm on field trip in the regions of talking to people on the ground after the harshest winter &amp; humanitarian crisis in 4 yrs of full-scale Russia's war & 12 yrs since the ongoing occupation of Crimea and my home Donbas, Luhansk city. My solidarity message to British people"
e888fd5c,Twitter,Houthis Enter Middle East War Risking Yemen Humanitarian Crisis #YemenToday,dataset/twitter_images/e888fd5c.jpg,Houthis Enter Middle East War Risking Yemen Humanitarian Crisis #YemenToday
60c391fc,Twitter,"Lebanon faces a deepening humanitarian crisis as Israel’s offensive displaces over 1.2 million people amid the Iran war.   Civilians, especially women and children, are bearing the brunt of escalating violence and mass evacuations.   #Lebanon #Israel #Crisis #Humanitarian",dataset/twitter_images/60c391fc.jpg,"Lebanon faces a deepening humanitarian crisis as Israel’s offensive displaces over 1.2 million people amid the Iran war. Civilians, especially women and children, are bearing the brunt of escalating violence and mass evacuations. #Lebanon #Israel #Crisis #Humanitarian"
f9dee6ec,Twitter,Iran’s warning to target Gulf desalination plants could trigger a humanitarian crisis within days. Analysts warn that a 'water war' may be closer than we think   Watch more on #VoiceOfTheGlobalSouth   https:// youtu.be/rpVodawP7F0   #WaterWar #MiddleEastCrisis #USIranWar,dataset/twitter_images/f9dee6ec.jpg,Iran’s warning to target Gulf desalination plants could trigger a humanitarian crisis within days. Analysts warn that a 'water war' may be closer than we think Watch more on #VoiceOfTheGlobalSouth youtu.be/rpVodawP7F0 #WaterWar #MiddleEastCrisis #USIranWar
232f649e,Twitter,"The UN  “The Sleeping Beauty”   On 28 March, (1 month into the crisis) the UN announced a task force to address humanitarian access through the Strait of Hormuz. When it comes to UN interference, it always arrives late: •Syrian Civil War — years of delayed action •Yemeni",dataset/twitter_images/232f649e.jpg,"The UN “The Sleeping Beauty” On 28 March, (1 month into the crisis) the UN announced a task force to address humanitarian access through the Strait of Hormuz. When it comes to UN interference, it always arrives late: •Syrian Civil War — years of delayed action •Yemeni"
2fad9518,Twitter,"""As the war in the Middle East hits the one-month mark, it has upended the global economy and caused an acute energy crisis. It has also wrought mayhem in the already battered humanitarian aid sector""    https:// wapo.st/3PQBKD3",dataset/twitter_images/2fad9518.jpg,"""As the war in the Middle East hits the one-month mark, it has upended the global economy and caused an acute energy crisis. It has also wrought mayhem in the already battered humanitarian aid sector"" wapo.st/3PQBKD3"
d400ebb7,Twitter,"One month into the war initiated by the U.S & Israel against Iran, #Lebanon is facing a severe humanitarian crisis, with over 1M people displaced, rising civilian casualties, and widespread damage to critical infrastructure. The protection of civilians and respect for",dataset/twitter_images/d400ebb7.jpg,"One month into the war initiated by the U.S & Israel against Iran, #Lebanon is facing a severe humanitarian crisis, with over 1M people displaced, rising civilian casualties, and widespread damage to critical infrastructure. The protection of civilians and respect for"
b6c1a672,Twitter,Italy has exposed the blood on the hands of the BJP government by seizing massive supplies of specialized metal meant for weaponry. Modi government is fueling a global humanitarian crisis by arming a regime under fire for war crimes while pretending to be a peace messenger.,dataset/twitter_images/b6c1a672.jpg,Italy has exposed the blood on the hands of the BJP government by seizing massive supplies of specialized metal meant for weaponry. Modi government is fueling a global humanitarian crisis by arming a regime under fire for war crimes while pretending to be a peace messenger.
4a855342,Twitter,"I thought that too until i kept seeing more tweets of him speaking ill of Iranians. Also, i found out he sang a song for the Kuwaiti soldiers sent to fight in Yemen in 2015, a war that has caused the biggest humanitarian crisis in Yemen. Allahu ya3lam, but this is disappointing",dataset/twitter_images/4a855342.jpg,"I thought that too until i kept seeing more tweets of him speaking ill of Iranians. Also, i found out he sang a song for the Kuwaiti soldiers sent to fight in Yemen in 2015, a war that has caused the biggest humanitarian crisis in Yemen. Allahu ya3lam, but this is disappointing"
f85e8c10,Twitter,"In view of the #Israël #IranIsrael war, genocidal deaths of children #Gaza energy crisis #IPL2026 must be delayed for few weeks! Humanitarian crisis  and sports never go well together ",dataset/twitter_images/f85e8c10.jpg,"In view of the #Israël #IranIsrael war, genocidal deaths of children #Gaza energy crisis #IPL2026 must be delayed for few weeks! Humanitarian crisis and sports never go well together"
a2e2b6d0,Twitter,The UN on Friday announced that it has established a dedicated task force to address the humanitarian consequences of disruptions to maritime trade through the Strait of Hormuz amid the ongoing Iran war  http:// v.aa.com.tr/3882145,dataset/twitter_images/a2e2b6d0.jpg,The UN on Friday announced that it has established a dedicated task force to address the humanitarian consequences of disruptions to maritime trade through the Strait of Hormuz amid the ongoing Iran war v.aa.com.tr/3882145
5207894e,Twitter,"Geneva (AFP) - Nearly a month into the Middle East war, Lebanon is facing a deepening humanitarian crisis that now risks teetering over into a catastrophe, the United Nations refugee agency warned Fri  https:// bit.ly/4uZWMPS",dataset/twitter_images/5207894e.jpg,"Geneva (AFP) - Nearly a month into the Middle East war, Lebanon is facing a deepening humanitarian crisis that now risks teetering over into a catastrophe, the United Nations refugee agency warned Fri bit.ly/4uZWMPS"
57fd21d9,Twitter,"Lebanon War Update: लेबनान में इज़राइल का हमला तेज़, UN ने दी बड़े मानवीय संकट की चेतावनी, 10 लाख लोग बेघर  https:// ift.tt/7qkTYwJ  https:// instagr.am/p/DWZd08hjL2c/",dataset/twitter_images/57fd21d9.jpg,"Lebanon War Update: लेबनान में इज़राइल का हमला तेज़, UN ने दी बड़े मानवीय संकट की चेतावनी, 10 लाख लोग बेघर ift.tt/7qkTYwJ instagr.am/p/DWZd08hjL2c/"
96f6c9ce,Twitter,"Nearly a month into the Middle East war, Lebanon is facing a deepening humanitarian crisis that now risks teetering over into a catastrophe, the U.N refugee agency warns.  Since March 2, more than a million people — one in five residents  have been forced to flee their homes,",dataset/twitter_images/96f6c9ce.jpg,"Nearly a month into the Middle East war, Lebanon is facing a deepening humanitarian crisis that now risks teetering over into a catastrophe, the U.N refugee agency warns. Since March 2, more than a million people — one in five residents have been forced to flee their homes,"
bac218b5,Twitter,"The Torkham border crossing between Afghanistan and Pakistan reopened Tuesday for Afghan refugees returning from Pakistan, Taliban authorities said, marking the latest partial easing of restrictions amid ongoing conflict between the Taliban and Pakistan.  Read more:",dataset/twitter_images/bac218b5.jpg,"The Torkham border crossing between Afghanistan and Pakistan reopened Tuesday for Afghan refugees returning from Pakistan, Taliban authorities said, marking the latest partial easing of restrictions amid ongoing conflict between the Taliban and Pakistan. Read more:"
96af092a,Twitter,"Pakistan has temporarily reopened the Torkham border crossing to allow Afghan refugees to return home, offering relief to hundreds stranded after weeks of closure due to escalating cross-border conflict. Authorities say the move is part of a controlled and phased repatriation",dataset/twitter_images/96af092a.jpg,"Pakistan has temporarily reopened the Torkham border crossing to allow Afghan refugees to return home, offering relief to hundreds stranded after weeks of closure due to escalating cross-border conflict. Authorities say the move is part of a controlled and phased repatriation"
79bf5e4b,Twitter,"Sudan Conflict Spills Over as Chad Relocates Refugees  As violence intensifies in Sudan, neighboring Chad is relocating thousands of refugees away from the border to prevent further escalation.   Watch the full report to see how the conflict is spreading beyond borders and",dataset/twitter_images/79bf5e4b.jpg,"Sudan Conflict Spills Over as Chad Relocates Refugees As violence intensifies in Sudan, neighboring Chad is relocating thousands of refugees away from the border to prevent further escalation. Watch the full report to see how the conflict is spreading beyond borders and"
de9e2ef9,Twitter,"Just over the border in Chad, the conflict in Sudan is felt far beyond the front lines. In camps across eastern Chad, hundreds of thousands of refugees are trying to rebuild their lives in an environment marked by extreme heat, water scarcity, and rising food prices.  The Chad",dataset/twitter_images/de9e2ef9.jpg,"Just over the border in Chad, the conflict in Sudan is felt far beyond the front lines. In camps across eastern Chad, hundreds of thousands of refugees are trying to rebuild their lives in an environment marked by extreme heat, water scarcity, and rising food prices. The Chad"
8b5c304e,Twitter,Refugees carry the legacy of conflict with them when they cross borders.   New UNU-WIDER research finds that conflict fatalities reduce life satisfaction and social safety nets among Syrian refugees in Jordan—and drought amplifies these effects.     https:// go.unu.edu/k1IxD,dataset/twitter_images/8b5c304e.jpg,Refugees carry the legacy of conflict with them when they cross borders. New UNU-WIDER research finds that conflict fatalities reduce life satisfaction and social safety nets among Syrian refugees in Jordan—and drought amplifies these effects. go.unu.edu/k1IxD
2647dd5c,Twitter,"Last week  @IFRC  visited Renk, at the border between Sudan and South Sudan.  Nearly 80% of the 1.3 million refugees and returnees fleeing the conflict in Sudan have crossed into South Sudan through this border town. Every day, families arrive with only a few belongings, searching",dataset/twitter_images/2647dd5c.jpg,"Last week visited Renk, at the border between Sudan and South Sudan. Nearly 80% of the 1.3 million refugees and returnees fleeing the conflict in Sudan have crossed into South Sudan through this border town. Every day, families arrive with only a few belongings, searching"
c0704d33,Twitter,"Bhanubhatra ""Kaan"" Jittiang is a Thai political scientist at Chulalongkorn University and director of the Nelson Mandela Center for Conflict Resolution and Human Security. He studies refugees and border dynamics, and he approaches Myanmar less like a hea…  https:// instagr.am/p/DVwwkv3FsJc/",dataset/twitter_images/c0704d33.jpg,"Bhanubhatra ""Kaan"" Jittiang is a Thai political scientist at Chulalongkorn University and director of the Nelson Mandela Center for Conflict Resolution and Human Security. He studies refugees and border dynamics, and he approaches Myanmar less like a hea… instagr.am/p/DVwwkv3FsJc/"
